[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 6:9, 7:10, 9:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 6:9, 7:10]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 6:9, 9:10, 9:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 6:9, 9:10]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 3:5, 4:11, 4:6, 5:6, 7:10, 7:9]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 3:5, 4:6, 5:11, 5:6, 7:10, 7:9]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 6:11, 7:10, 7:9]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 7:10, 7:9, 8:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 7:10, 7:9]
[0:1, 0:2, 0:7, 10:11, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 7:9, 8:10]
[0:1, 0:2, 0:7, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 7:9, 9:10, 9:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 1:8, 2:4, 3:5, 4:6, 5:6, 7:9, 9:10]
[0:1, 0:2, 0:7, 1:3, 2:4, 3:5, 3:8, 4:6, 4:9, 5:6, 7:10, 8:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 2:4, 3:5, 3:8, 4:6, 4:9, 5:6, 7:10]
[0:1, 0:2, 0:7, 1:3, 2:4, 3:5, 3:8, 4:6, 4:9, 5:6, 8:10, 9:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 2:4, 3:5, 3:8, 4:6, 4:9, 5:6, 8:10]
[0:1, 0:2, 0:7, 10:11, 1:3, 2:4, 3:5, 3:8, 4:6, 5:6, 7:9, 8:10]
[0:1, 0:2, 0:7, 1:3, 2:4, 3:5, 3:8, 4:6, 5:6, 7:9, 9:10, 9:11]
[0:1, 0:2, 0:7, 10:11, 1:3, 2:4, 3:5, 3:8, 4:6, 5:6, 7:9, 9:10]
